AccidentNumber,AccidentDate,Injury,Fatality,PropertyDamage,HitAndRun,CollisionType,Weather,Illumination,Precinct
20200046129,1/31/2022,FALSE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,CLEAR,DAYLIGHT,WEST
20200099766,3/4/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DAYLIGHT,CENTRA
20200181991,4/15/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,CLOUDY,DAYLIGHT,HERMIT
20210016364,1/12/2022,FALSE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,CENTRA
20220000022,1/1/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - NOT LIGHTED,WEST
20220000159,1/1/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,SOUTH
20220000170,1/1/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DARK - LIGHTED,NORTH
20220000242,1/1/2022,TRUE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLOUDY,DARK - LIGHTED,MIDTOW
20220000277,1/1/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLOUDY,DARK - LIGHTED,HERMIT
20220000279,1/1/2022,FALSE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,HERMIT
20220000287,1/1/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DARK - LIGHTED,CENTRA
20220000316,1/1/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLOUDY,DARK - LIGHTED,SOUTH
20220000323,1/1/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - LIGHTED,NORTH
20220000352,1/1/2022,TRUE,FALSE,FALSE,TRUE,Front to Rear,CLEAR,DARK - LIGHTED,NORTH
20220000356,1/1/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DARK - NOT LIGHTED,MIDTOW
20220000445,1/1/2022,FALSE,FALSE,TRUE,TRUE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLEAR,DAYLIGHT,HERMIT
20220000689,1/1/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DAYLIGHT,MADISO
20220000696,1/1/2022,FALSE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DAYLIGHT,HERMIT
20220000719,1/1/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DAYLIGHT,HERMIT
20220000729,1/1/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,RAIN,DAYLIGHT,SOUTH
20220000730,1/1/2022,FALSE,FALSE,FALSE,TRUE,ANGLE,RAIN,DAYLIGHT,SOUTH
20220000734,1/1/2022,FALSE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,RAIN,DAYLIGHT,HERMIT
20220000748,1/1/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLOUDY,DAYLIGHT,CENTRA
20220000755,1/1/2022,FALSE,FALSE,TRUE,FALSE,ANGLE,CLOUDY,DAYLIGHT,SOUTH
20220000757,1/1/2022,TRUE,FALSE,FALSE,TRUE,SIDESWIPE - SAME DIRECTION,RAIN,DAYLIGHT,MADISO
20220000791,1/1/2022,TRUE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DAYLIGHT,HERMIT
20220000834,1/1/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DAYLIGHT,NORTH
20220000855,1/1/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DUSK,CENTRA
20220000881,1/1/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,RAIN,DAYLIGHT,CENTRA
20220000884,1/1/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,RAIN,DUSK,WEST
20220000885,1/1/2022,TRUE,FALSE,FALSE,FALSE,HEAD-ON,RAIN,DUSK,NORTH
20220000886,1/1/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DAYLIGHT,SOUTH
20220000899,1/1/2022,FALSE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DUSK,MADISO
20220000909,2/28/2022,FALSE,FALSE,FALSE,TRUE,ANGLE,CLEAR,DARK - LIGHTED,SOUTH
20220000929,1/1/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DAYLIGHT,SOUTH
20220000936,1/1/2022,FALSE,FALSE,TRUE,FALSE,SIDESWIPE - SAME DIRECTION,RAIN,DARK - NOT LIGHTED,HERMIT
20220000945,1/1/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DARK - NOT LIGHTED,SOUTH
20220000946,1/1/2022,TRUE,FALSE,FALSE,TRUE,Front to Rear,CLOUDY,DAYLIGHT,SOUTH
20220000947,1/1/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DARK - LIGHTED,HERMIT
20220000960,1/1/2022,TRUE,FALSE,FALSE,TRUE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DARK - LIGHTED,MADISO
20220000970,1/1/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,RAIN,DARK - LIGHTED,SOUTH
20220000991,1/1/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,RAIN,DAYLIGHT,CENTRA
20220001010,1/1/2022,TRUE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DARK - NOT LIGHTED,WEST
20220001013,1/1/2022,TRUE,FALSE,TRUE,FALSE,ANGLE,CLOUDY,DARK - LIGHTED,SOUTH
20220001014,1/1/2022,FALSE,FALSE,FALSE,TRUE,Front to Rear,RAIN,DUSK,WEST
20220001038,1/1/2022,FALSE,FALSE,FALSE,TRUE,Front to Rear,RAIN,DAYLIGHT,MIDTOW
20220001097,1/1/2022,FALSE,FALSE,FALSE,TRUE,SIDESWIPE - SAME DIRECTION,RAIN,DARK - LIGHTED,SOUTH
20220001134,1/1/2022,TRUE,FALSE,FALSE,TRUE,ANGLE,RAIN,DARK - LIGHTED,HERMIT
20220001137,1/1/2022,FALSE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,RAIN,DARK - LIGHTED,SOUTH
20220001142,1/1/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DARK - LIGHTED,SOUTH
20220001147,1/1/2022,FALSE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,RAIN,DARK - LIGHTED,HERMIT
20220001148,1/1/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DARK - LIGHTED,MADISO
20220001153,1/1/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLOUDY,DARK - LIGHTED,SOUTH
20220001199,1/1/2022,TRUE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DARK - NOT LIGHTED,NORTH
20220001205,1/1/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLOUDY,DARK - LIGHTED,NORTH
20220001211,1/1/2022,TRUE,FALSE,FALSE,FALSE,HEAD-ON,RAIN,DARK - NOT LIGHTED,HERMIT
20220001219,1/1/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,RAIN,DARK - NOT LIGHTED,HERMIT
20220001245,1/1/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLOUDY,DARK - LIGHTED,NORTH
20220001296,1/1/2022,FALSE,FALSE,FALSE,TRUE,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - LIGHTED,MIDTOW
20220001332,1/1/2022,TRUE,FALSE,FALSE,FALSE,ANGLE,RAIN,DARK - LIGHTED,SOUTH
20220001354,1/1/2022,FALSE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,CLOUDY,DARK - LIGHTED,HERMIT
20220001409,1/1/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,CLEAR,DARK - LIGHTED,MADISO
20220001558,1/2/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,RAIN,DARK - LIGHTED,CENTRA
20220001559,1/2/2022,FALSE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,RAIN,DARK - LIGHTED,SOUTH
20220001725,1/2/2022,FALSE,FALSE,TRUE,TRUE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLOUDY,DAYLIGHT,SOUTH
20220001731,1/2/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,CLOUDY,DAYLIGHT,NORTH
20220001862,1/2/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,CLOUDY,DAYLIGHT,CENTRA
20220001911,1/2/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,CLOUDY,DAYLIGHT,EAST
20220001944,1/2/2022,FALSE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DAYLIGHT,CENTRA
20220001975,1/2/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DAYLIGHT,MADISO
20220001993,1/2/2022,FALSE,FALSE,FALSE,TRUE,Front to Rear,CLOUDY,DAYLIGHT,SOUTH
20220002009,1/2/2022,TRUE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DAYLIGHT,MADISO
20220002021,1/2/2022,FALSE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,CLOUDY,DAYLIGHT,SOUTH
20220002054,1/2/2022,FALSE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,CLOUDY,DAYLIGHT,HERMIT
20220002083,1/2/2022,TRUE,FALSE,FALSE,TRUE,ANGLE,RAIN,DAYLIGHT,MADISO
20220002096,1/2/2022,TRUE,FALSE,FALSE,TRUE,ANGLE,RAIN,DAYLIGHT,MIDTOW
20220002110,1/2/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DAYLIGHT,HERMIT
20220002128,1/2/2022,FALSE,FALSE,TRUE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,RAIN,DUSK,HERMIT
20220002218,1/2/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,SNOW,DARK - LIGHTED,WEST
20220002276,1/2/2022,FALSE,FALSE,FALSE,FALSE,Front to Rear,"SLEET, HAIL",DARK - LIGHTED,NORTH
20220002305,1/2/2022,TRUE,FALSE,FALSE,FALSE,Front to Rear,SNOW,DARK - LIGHTED,SOUTH
20220002320,1/2/2022,FALSE,FALSE,FALSE,TRUE,Front to Rear,CLEAR,DARK - LIGHTED,WEST
20220002459,1/2/2022,FALSE,FALSE,FALSE,FALSE,SIDESWIPE - SAME DIRECTION,CLEAR,DARK - NOT LIGHTED,HERMIT
20220002467,1/2/2022,TRUE,FALSE,FALSE,FALSE,OTHER,SNOW,DARK - LIGHTED,SOUTH
20220002472,1/2/2022,FALSE,FALSE,FALSE,FALSE,ANGLE,CLEAR,DARK - LIGHTED,HERMIT
20220002481,1/2/2022,FALSE,FALSE,FALSE,FALSE,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,SNOW,DARK - LIGHTED,SOUTH
